"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cluster"
"1","Yang_BioRxiv_2021_SMC","6.83078320683366e-11","3.34708377134849e-09","0.839088935621274","0.833677794660542","3.19815943851717","18","c(""ACTA2"", ""TPM2"", ""MYH11"", ""TAGLN"", ""DMD"", ""RBPMS"", ""ZFHX3"", ""PHLDB2"", ""TIMP3"", ""COL4A1"")","20"
"2","Hu_2022_Peri","1.98152484976131e-06","1.41551474081042e-05","0.627256739718528","0.752461948138562","2.71240239245914","15","c(""ACTA2"", ""TPM2"", ""TAGLN"", ""HIGD1B"", ""SDC2"", ""ZIC1"")","20"
"3","Myoepithelial.cells","5.57417761211873e-08","5.46269405987636e-07","0.719512826338911","0.932857762227167","2.49711142908663","7","c(""ACTA2"", ""MYH11"", ""ACTG2"", ""MYLK"", ""CNN1"")","20"
"4","Yang_BioRxiv_2021_Pericyte","0.00110426036730807","0.00491897799982685","0.45505986738723","0.558067658045367","2.14086228437414","18","c(""GJC1"", ""ZFHX3"", ""PTEN"", ""ZIC1"", ""PDE5A"", ""DGKB"", ""COL4A1"")","20"
"5","Fibroblasts","0.0209077001529832","0.0512238653748088","0.22623238004642","0.463446029691421","1.77787426220755","18","c(""CEBPB"", ""NR4A2"", ""KLF4"", ""EGR1"", ""NFAT5"")","20"
"6","Microglia","0.0506675795960288","0.103446308341892","0.117910116623497","0.662717105914012","1.56786310284211","5","c(""EGR1"", ""FOS"", ""AEBP1"")","20"
"7","Endothelial.cells","0.0809399477806789","0.150687748699112","0.129015392724128","0.325693532491403","1.44755995459334","29","c(""MYLK"", ""RND1"", ""ID3"", ""TIMP3"", ""IGFBP7"")","20"
"8","Neftel_Cell_2019_NPC2","0.215164943377646","0.292863395152908","0.0675291436315801","0.330831711368813","1.21792676406379","16","c(""ATP1B1"", ""LBH"", ""RBFOX2"")","20"
"9","Pyramidal.cells","0.347037037037037","0.436020892687559","0.0448817432190029","0.436348549009098","1.10290941909829","6","c(""NR4A2"", ""YWHAZ"")","20"
"10","Purkinje.neurons","0.382447901379513","0.468498679189903","0.0372807383739711","0.549071927052899","1.06455923032422","3","c(""PDE5A"", ""MRPS35"")","20"
"11","Neurons","0.565789473684211","0.676187419768934","0.0498268864819582","0.196185996502787","0.936289203180544","38","c(""RGS7BP"", ""ZIC1"", ""DGKB"", ""CHD6"")","20"
