"","Stem_core","Neftel_Cell_2019_MES2","Neftel_Cell_2019_MES1","Neftel_Cell_2019_AC","Neftel_Cell_2019_OPC","Neftel_Cell_2019_NPC1","Neftel_Cell_2019_NPC2","Neftel_Cell_2019_G1.S","Neftel_Cell_2019_G2.M","Yang_BioRxiv_2021_Astrocyte","Yang_BioRxiv_2021_Neuron","Yang_BioRxiv_2021_Oligo","Yang_BioRxiv_2021_OPC","Yang_BioRxiv_2021_BEC_capillary","Yang_BioRxiv_2021_Perivascular_fibroblast","Yang_BioRxiv_2021_Pericyte","Yang_BioRxiv_2021_SMC","Astrocytes","Bergmann.glia","Cajal.Retzius.cells","Choroid.plexus.cells","Endothelial.cells","Endothelial.cells..blood.brain.barrier.","Fibroblasts","Immature.neurons","Interneurons","Macrophages","Mast.cells","Meningeal.cells","Microglia","Monocytes","Motor.neurons","Myoepithelial.cells","Neural.stem.precursor.cells","Neurons","Oligodendrocyte.progenitor.cells","Pericytes","Photoreceptor.cells","Purkinje.fiber.cells","Purkinje.neurons","Pyramidal.cells","Radial.glia.cells","Tanycytes","Vascular.smooth.muscle.cells","Chanoch_Myers_MES_CORE_GENES","Chanoch_Myers_MES_OTHER","Chanoch_Myers_GLYCOLYSIS","Chanoch_Myers_APOPTOSIS","Chanoch_Myers_ASTROCYTE","Chanoch_Myers_INTERFERON","Chanoch_Myers_MHCI","Chanoch_Myers_MHCII","Chanoch_Myers_IMMUNE","Hu_2022_RG","Hu_2022_Peri","GSC_Catalog.Liau2018_GSC8","GSC_Catalog.Beier2007_CD133","Richards_NatureCancer_2021_sc.Developmental","Richards_NatureCancer_2021_sc.Injury_Response"
"11","NOTCH1","MT1X","SOD2","BCAN","SIRT2","TCF12","DLX6-AS1","TMEM106C","KIF2C","RYR3","GRIP1","SLC44A1","KCND2","ANGPT2","NTRK3","TRPC4","C11orf96","HTRA1","BTBD17","CIB2","SLC31A1","VWF","FOXL2","CEBPB","TBR1","LHX5","CD163","CCR3","DCN","TFF3","PADI4","NKX6-1","TP63","NEUROG1","NEFM","VCAN","","GABRA1","","PDE1A","GRIA3","CDH4","PRDX6","","EMP3","DST","","","MLC1","","","","CXCL2","CACYBP","PDGFRB","KDM3B","PROM1","NEUROD4","NRBP1"
"12","NOTCH3","ATF3","IFITM3","PON2","TNR","BEX1","SOX11","CDCA5","AURKA","RNF219-AS1","GRIK1","SHTN1","CA10","BTNL9","ABCA6","COLEC12","FLNA","S100A8","AQP4","NDNF","CLDN2","NOS3","FOXQ1","EGR1","PROX1","LHX3","CCR5","CCR5","LUM","SALL1","GHSR","NGFR","NGFR","NEUROG2","DLG4","CDO1","","PCBP3","","OMP","SPINK8","SPRY1","CRYM","","LGALS1","EFEMP2","","","PRDX6","","","","GBP1","DOK5","ACTA2","JMJD1C","FGFR3","CHRM1","SNW1"
"13","CD15","NAMPT","TIMP1","METTL7B","THY1","OLIG1","NREP","CKS1B","CENPF","TRPM3","FGF14","PTPRD","SNTG1","ABCG2","AC093772.1","SLC30A10","CRISPLD2","CLDN10","SLC4A4","LINGO1","SLC13A4","THBD","LEF1","FOSB","NTRK3","LHX6","TLR2","LTC4S","PDGFRA","CSF3R","ITGAX","SIM1","CDH3","NHLH1","SLC12A5","EPN2","","FRMD3","","PDE9A","PCP4","AXIN2","VCAN","","NNMT","ENO2","","","TSC22D4","","","","GBP2","DSCC1","AEBP1","NOTCH1","COL9A3","DBX2","PRKAR1A"
"14",NA,"NRN1","SPP1","SPARC","PHYHIPL","MAP2","FNBP1L","CDC45","KPNA2","CTNND2","SNTG1","ANK3","LUZP2","VWF","PRICKLE1","PDGFRB","PDE3A","ITIH3","HOPX","LNPK","SLC29A4","PLVAP","PPARD","FOSL2","RND2","GRM1","TLR4","GPR34","IL33","TCIRG1","SELE","","MYH11","PPP1R17","GABRA1","LHFPL3","","ADAMTS5","","CBLN1","SYNPR","RIIAD1","FRZB","","SERPINE1","GADD45A","","","AGT","","","","GRN","MLC1","ASPN","MSI2","AKAP7","GPR12","NSUN3"
"15",NA,"SLC2A1","A2M","GATM","SOX2-OT","FXYD6","TAGLN3","MCM3","KIF20A","AC092691.1","KCNIP4","ZNF536","CSMD3","ADGRL4","FGF13","FRMD3","MCAM","NKAIN4","GPR37L1","RNF138","PRLR","ACKR1","ZIC3","HIF1A","FEZF2","NPY","ADGRE1","MGST2","PTGDS","SUSD3","TLR4","","FST","TMTC4","AQP1","NEU4","","RD3L","","MRPS35","NR4A2","","PENK","","ACTN1","ITGA5","","","HOPX","","","","IL6","RPL23A","ATP1A2","ITGA6","RLBP1","VSTM2B","YTHDF3"
"16",NA,"BNIP3","S100A11","RAMP1","NKAIN4","PTPRS","STMN4","CENPM","ECT2","RFX4","MYT1L","AC026316.5","NXPH1","GALNT18","CYP1B1","ATP1B3","ZBTB7C","ACSL6","ACSBG1","TMEM170B","CLDN1","SLCO1C1","ALCAM","KLF2","SOX5","OPRM1","GPR34","ACHE","NNAT","GPR183","AR","","ACTG2","EOMES","IFIT3","ASCL1","","GABRG2","","PVALB","AGER","","CACNA2D2","","COL1A1","ITGB1","","","GFAP","","","","KLF6","SHCBP1","AXL","FOXO3","CHRNA1","C5orf67","TRIM26"
"17",NA,"LGALS3","MT1X","PMP2","LPPR1","MLLT11","DLX5","AURKB","BUB1","NKAIN3","CHRM3","PRUNE2","MMP16","MECOM","TGFBR3","P2RY14","CACNA1C","ACSBG1","ALDH1L1","ABCC5","SLC2A12","TMEM100","","KLF4","ROBO1","GRIN2D","TREM2","CPA3","NOV","VAV1","CXCR4","","MDFI","PLEKHH2","SLC11A1","LAD1","","CNTN4","","SHANK2","GRIN2D","","ADM","","COL1A2","JUN","","","PLTP","","","","LGALS3BP","SLC1A2","BICC1","NFIA","NEDD4L","NCAN","PSMB2"
"18",NA,"INSIG2","S100A10","AQP4","PTPRZ1","NPPA","SOX4","PKMYT1","CDCA8","MIR4300HG","SYNPR","TMEM144","GRM7","BSG","DCN","SGIP1","RBPMS","TRIL","SLC1A3","CNRIP1","WFIKKN2","ADGRF5","","KLF6","EPHA7","NOS1","FABP4","CPA1","SLC47A1","SLC2A5","CD86","","PXN","TLR3","TFF3","SLC25A47","","RNF152","","CACNA2D2","YWHAZ","","SPRR1A","","FN1","PLOD2","","","PMP2","","","","LTF","SOX9","CCDC3","NFIB","OBSL1","C1orf61","XRCC6"
"19",NA,"IGFBP3","FN1","DBI","VCAN","BCAN","MAP1B","MCM4","BUB1B","LSAMP","UNC5D","SH3GL3","ATRNL1","PTPRB","COL12A1","CASC15","PRKG1","AGT","SLC1A2","EBF3","SLC23A2","ABCG2","","KLF9","EPHA3","PVALB","S100A8","CMA1","","IL21R","CCR2","","LAMB3","PARP12","SLC1A1","ETV5","","SYNE1","","NKAIN4","KCNN4","","SCN7A","","IGFBP7","PMP22","","","SPARC","","","","MGST2","TMEM132B","CD248","SALL2","SV2C","LOC101929625","PPP6C"
"20",NA,"PPP1R15A","LGALS1","EDNRB","DBI","MEST","RBFOX2","ASF1B","TACC3","AQP4-AS1","CNTNAP5","01-mar","VCAN","ELOVL7","FHL2","GJC1","MYOCD","GPR37L1","S100B","FUT9","SLC26A11","PODXL","","NFAT5","YY2","PAX2","CPM","HNMT","","IL10RA","TNFRSF14","","LAMC2","P2RX7","CXCL1","NNAT","","SEBOX","","CNTNAP2","DAB1","","MEST","","NPC2","PPIB","","","","","","","NFKBIA","TRIP13","CLEC3B","NOTCH3","MYO5C","BCAN","HIAT1"
"21",NA,"VIM","S100A16","PTPRZ1","PMP2","ASCL1","IGFBPL1","GINS2","TTK","DCLK1","NRXN3","SPOCK1","MDGA2","ST6GALNAC3","ANTXR2","EPS8","LTBP1","SLC4A4","VIM","PABPN1","CHMP1A","NOSTRIN","","NFATC1","SLC1A1","SST","CHIT1","TPSAB1","","PTAFR","ADA2","","GRWD1","INAFM2","CXCR5","CSPG5","","HSPA12A","","TH","CCM2","","IGFBP5","","PDPN","SAT1","","","","","","","NRP1","","CLMP","SOX9","LAMP5","SCG3","RNF10"
"22",NA,"PLOD2","CLIC1","CLU","CNP","BTG2","STMN1","MCM2","TUBA1C","NTRK2","TENM2","C10orf90","FGF12","PLEKHG1","LAMC1","AC012409.2","HSPB1","NTSR2","FABP7","GNL3L","","MFSD2A","","NFKB1","NOTCH3","TACR1","F13A1","PTGDS","","LAG3","MGMT","","SPHK1","ISG15","AIM2","OLIG1","","CNTNAP2","","CERK","MAP2","","RGCC","","S100A16","SCG2","","","","","","","P4HA2","","CMBL","PROM1","NRIP3","DPP10-AS1","KANSL3"
"23",NA,"GBE1","MGST1","PMP22","TNS3","DCX","HN1","FEN1","NCAPD2","CD44","OPCML","MAN2A1","MEGF11","THSD4","PID1","RGS5","COL4A1","SLC6A11","TTC21B","NUDT2","","ACVRL1","","NR4A1","NOTCH1","VIP","CX3CR1","CFP","","ENTPD1","CD14","","SMIM3","IGFBP3","MATN2","PCDH15","","NLK","","CD3G","CALB1","","RGS7BP","","S100A6","SFRP4","","","","","","","SERPING1","","COL13A1","FABP7","SLCO4A1","LOC440040","REXO4"
"24",NA,"SLC2A3","RCAN1","ATP1A2","LIMA1","NXPH1","TMEM161B-AS1","RRM1","ARL6IP1","GABRB1","XKR4","PIP4K2A","XYLT1","CMTM8","KCNK2","ARHGAP42","JAG1","HSPA2","HEPACAM","SLC25A46","","AQP1","","NR4A2","LHX6","CRHR1","CXCL16","RAB27B","","ADRB2","CD33","","KRT5","IFIT1","SLC36A4","ALDOC","","NTNG1","","KCNA2","ADRB2","","CTGF","","TAGLN2","TAGLN","","","","","","","SLPI","","COL15A1","NES","PPP1R17","KCNQ2","PSMD11"
"25",NA,"FTL","TAGLN2","S100A16","CA10","HN1","DPYSL3","DUT","KIF4A","ARHGEF4","KCNC2","FRMD5","BRINP3","SGPP2","ABCA8","NR2F2-AS1","FHL5","SLC16A2","ZEB2","NSMCE3","","MYLK","","PBX1","NES","PACSIN1","TGFBR1","SLA","","TMEM173","ITGAM","","MYLK","IFI44","PRPH","TNR","","GLS","","SLC22A15","RTN4","","TGFB2","","TGFBI","TNFRSF12A","","","","","","","BST2","","COL26A1","SLC1A3","RNF19A","DCX","SUMO1"
"26",NA,"WARS","NPC2","HEY1","PCDHGC3","PFN2","03-sep","RAD51AP1","CKAP2L","NAV3","FGF12","DOCK10","GRIK1","ERG","C7","CPM","LMOD1","SYNE1","UFL1","DACH1","","RASIP1","","RUNX1","RBFOX3","SYN1","SLAMF9","IL1RL1","","TBXAS1","ACE","","MYL9","MGAT5","MECP2","FYN","","STX3","","CACNG2","PDE2A","","","","TMSB10","CCN1","","","","","","","VCAM1","","COL4A5","RFX4","NT5C3A","TTC9B","PLRG1"
"27",NA,"ERO1L","SERPING1","PCDHGC3","CNTN1","SCG3","PKIA","MCM7","MZT1","MGAT4C","FRMPD4","MAP7","PTPRZ1","TBC1D4","LAMB1","TRPC3","SH3RF3","DIO2","NRXN3","FAM69B","","FLI1","","STAT3","CREB1","FGF12","SCIMP","GNAI1","","P2RY6","FUT4","","","PBK","RIN1","NKX6-2","","GRM6","","SYT2","KCNB1","","","","TNFAIP3","WWTR1","","","","","","","PTX3","","COL5A1","HEY1","H19","BTBD17","CBWD2"
"28",NA,"XPOT","C8orf4","TTYH1","SCD5","MYT1","ATP1B1","CCNE2","KIFC1","NRXN1","ZNF385D","RNF220","DCC","PODXL","COL1A2","CNTN4","LPP","SLC7A10","ATP7A","HOMER2","","TIE1","","TCF4","NEUROD1","NXPH1","LILRA5","CFD","","P2RY13","ICAM1","","","DLX2","OMP","CNP","","STRIP2","","CPLX1","KCNB2","","","","VIM","MAP1B","","","","","","","","","COL6A1",NA,"NRARP","THCAT155","TIMMDC1"
"29",NA,"HSPA5","EMP1","NDRG2","P2RX7","CHD7","DYNC1I1","ZWINT","SPAG5","AC073941.1","NXPH1","PDE4B","GRIK2","FLI1","FLVCR2","SLC6A1","AC002066.1","ENTPD2","BICD2","MAP9","","APLNR","","ZEB2","ASCL1","SYT7","CD83","OSBPL8","","CEBPA","SELL","","","CBX3","PTPN11","","","CHGA","","PKP4","KCNQ2","","","","","IGFBP6","","","","","","","","","COL6A2",NA,"NEDD4L","LUZP2","TMEM126A"
"30",NA,"GDF15","APOE","PRCP","CADM2","GPR56","CD200","","ANP32E","PTCHD1-AS","GRIA1","TTLL7","NRXN1","EGFL7","COL6A3","ADGRD1","CARMN","HSPB6","GJA1","DNM3","","NRP2","","LAMC1","NTRK1","PTPRO","C3AR1","ADORA3","","CD180","CD163","","","RND3","GHSR","","","RNPC3","","KCNMA1","KCNQ3","","","","","","","","","","","","","","COLEC12",NA,"RTTN","IGLON5","AGK"
"31",NA,"ANXA2","CTSB","ATP1B2","TTYH1","TUBA1A","SNAP25","","KIF11","NPAS3","SGCZ","TMEFF2","DPP6","TFRC","LAMA4","MYO1B","CACNB2","PLXNB1","METRN","LZTFL1","","ADAMTS1","","MEDAG","SYN1","DLGAP1","STAB1","HS3ST1","","MYO1F","FCGR1A","","","DLX5","NPY","","","VSTM2B","","ADGRB1","SATB2","","","","","","","","","","","","","","CPED1",NA,"EPHA4","LINC01322","DRG1"
"32",NA,"EPAS1","C3","AGT","FGF12","PCBP4","PAK3","","PSRC1","GLIS3","ASIC2","CNTNAP4","SEZ6L","ITGA6","KCNIP1","CALD1","FAM129A","LCAT","P2RX7","FSD1","","RPRM","","LAMB1","NF1","GNG4","MRC1","CSF2RB","","OLFML3","FCGR2B","","","SP9","AGRP","","","CACNA2D4","","HCN1","OXTR","","","","","","","","","","","","","","CTSK",NA,"SOCS6","LRRC10","PDE12"
"33",NA,"LDHA","LGALS3","PLTP","TMEM206","ETV1","NDRG4","","TUBB4B","TNIK","LINGO2","FRMD4B","SMOC1","SLC16A1","SRPX2","ARHGAP10","SLC22A3","PLA2G7","EGFR","TCEAL1","","FABP4","","DKK3","BCL2","HAP1","PARP14","DAPP1","","S100A8","ACP5","","","POU3F4","RESP18","","","VSX2","","SLC24A2","CCK","","","","","","","","","","","","","","EDNRA",NA,"CPXM1","LHFPL3","FASTKD5"
"34",NA,"P4HA1","MT1E","GPM6B","NEU4","SHD","KIF5A","","SMC4","SLC14A1","CADPS","TF","SLC35F1","PPFIBP1","FOXP2","SLC6A13","SLC38A11","CMTM5","GRIA1","RAB11FIP2","","GPIHBP1","","TBX20","SLC6A5","SHISA8","FGD2","SLC6A4","","LTC4S","MRC1","","","BARHL2","STX1A","","","TRNP1","","GABRA1","KCND2","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","FHL2",NA,"SIX1","MYT1","C11orf58"
"35",NA,"SERTAD1","EMP3","F3","FXYD6","TNR","UCHL1","","MXD3","TPD52L1","GRIN2B","EDIL3","NLGN1","PECAM1","NR2F1","SNTB1","COL4A2","S1PR1","P2RY1","BARHL2","","FHL2","","MDK","FOXD2","PCBP3","RAB7B","MAOB","","TGFBR1","TNF","","","LHX9","SCN2B","","","NEUROD4","","CLSTN3","KCND3","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","FMOD",NA,"ZNF224","FCGR2B","RPL7L1"
"36",NA,"PFKP","SERPINA3","RAB31","RNF13","AMOTL2","ENO2","","CDC25B","CNTN1","GRM5","ENPP2","SGCZ","INPP5D","SVIL","AC092957.1","ADIRF","SLC39A12","GRIN2B","TRIM44","","LOX","","GSTM5","ICAM5","ABAT","RBPJ","CSRNP1","","S100A9","PLAU","","","SHOX2","DISP2","","","GNB3","","SLC24A3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GPRC5C",NA,"C18orf54","SLC6A11","RNF111"
"37",NA,"PGK1","ACTN1","PPAP2B","RTKN","DBN1","KIF5C","","OIP5","FAM189A2","RALYL","KCNH8","CNTNAP5","CDYL2","AL445250.1","ABCC9","ARHGAP10","LUZP2","GRIN3A","SLC17A6","","KLK1","","NGF","SSTR2","PCP4L1","SLCO2B1","CYP11A1","","LPCAT2","GBP1","","","DBX1","CBARP","","","OTX2","","DLG4","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GPX8",NA,"SALL3","SLC6A1","C2orf47"
"38",NA,"EGLN3","PRDX6","ANXA5","GPM6B","HIP1","DDAH2","","REEP4","NRCAM","FAM19A2","ATP8A1","GRM5","SLC2A1","MIR99AHG","SLC19A1","DSTN","GSTA4","44078","B3GALT1","","ADORA2A","","VEGFA","NEUROG2","GAL","NAAA","RGS1","","ITGB5","OAS1","","","DLL3","B3GAT2","","","CACNA2D3","","CNPY1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GSN",NA,"LINC01896","SLC1A6","TERF1"
"39",NA,"SLC6A6","IGFBP7","TSPAN7","LMF1","ABAT","TUBB2A","","FOXM1","BMPR1B","ATP8A2","AK5","HS6ST3","MYRIP","CPED1","COL4A3","NOTCH3","SLC25A28","DAO","SLITRK5","","ARAP3","","FGF2","","TH","43891","PLEK","","LAIR1","IRF7","","","PITX2","FMO1","","","LIN7A","","SLC12A5","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GUCY1B3",NA,"LINC00997","COL20A1","VAPB"
"40",NA,"CA9","SERPINE1","","ALCAM","ELAVL4","LBH","","TMPO","HPSE2","GABRG3","DNAJC6","NRCAM","RIMKLB","GPC3","NID1","ITGA8","SLC25A46","ITGB1","ERC2","","ARHGEF15","","P4HTM","","SYNPR","EGLN3","HDC","","SPHK1","PLSCR1","","","OTX1","FBLN2","","","CCDC136","","SLC32A1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","HIGD1B",NA,"RALGAPA2","ELAVL4","PSMC2"
"41",NA,"BNIP3L","PLP2","","PGRMC1","LMF1","LOC150568","","GPSM2","PDE4DIP","DLGAP2","PCDH9","AC004852.2","EPAS1","COL15A1","PLXDC1","RYR2","WNT3","KIF1BP","NBEA","","CARD10","","CKAP4","","TRH","JAML","TPSB2","","COLEC12","MX1","","","ARX","SHISA2","","","NDNF","","GRIA3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","HSPB2",NA,"SLITRK1","EVX1-AS","DYNC1H1"
