"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cluster"
"115","Neftel_Cell_2019_NPC1","4.5586791403665e-06","2.91755464983456e-05","0.610526878385931","-0.791181253511546","-2.59448903020621","10","c(""BCAN"", ""STMN1"", ""OLIG1"", ""HES6"", ""MAP2"", ""MARCKSL1"", ""SOX4"", ""MEST"")","3"
"116","Neftel_Cell_2019_OPC","1.43526416326823e-06","1.14821133061459e-05","0.643551836150722","-0.813244161902092","-2.66683904297465","10","c(""BCAN"", ""PTPRZ1"", ""PMP2"", ""PLP1"", ""OLIG1"", ""TTYH1"", ""SCRG1"", ""THY1"")","3"
"117","Neftel_Cell_2019_AC","9.99839291891283e-08","1.06649524468404e-06","0.704975715167238","-0.758657897503527","-2.98978468182276","16","c(""MT3"", ""BCAN"", ""PTPRZ1"", ""S100B"", ""PMP2"", ""TTYH1"", ""ATP1B2"", ""ATP1A2"", ""EDNRB"", ""PON2"", ""SPARCL1"", ""GATM"", ""NDRG2"", ""MLC1"", ""PRCP"")","3"
"118","Richards_NatureCancer_2021_sc.Developmental","1.91987787252657e-34","3.07180459604252e-33","1.52970525162309","-0.631083566254844","-4.53681036590733","135","c(""C1orf61"", ""MT3"", ""BCAN"", ""PTPRZ1"", ""TUBB2B"", ""PMP2"", ""PLP1"", ""APOE"", ""ARC"", ""NOVA1"", ""CCND2"", ""GPM6A"", ""OLIG1"", ""LAPTM4B"", ""HES6"", ""BCHE"", ""MAP2"", ""TTYH1"", ""SCRG1"", ""KIF21A"", ""MARCKSL1"", ""SOX4"", ""KCNQ2"", ""GNG7"", ""NFIA"", ""FAM181B"", ""H2AFV"", ""CPE"", ""NCAM1"", ""ATP1B2"", ""ERBB3"", ""ATP1A2"", ""EDNRB"", ""PON2"", ""ACAP3"", ""MEOX2"", ""NR4A1"", ""OLIG2"", ""UQCRFS1"", ""SEMA5A"", ""TRIM9"", ""SPARCL1"", ""IDH2"", ""SMARCA4"", ""DSEL"", ""QKI"", ""PSAT1"", ""MTRNR2L1"", ""NUDT1"", ""CELF2"", ""EVL"", ""PDGFA"", ""PARP1"", ""MATN2"", ""SDC3"", ""SLC25A4"", 
""ADGRG1"", ""NDRG2"", ""KNOP1"", ""SMARCD3"", ""ID4"", ""PAFAH1B3"", ""ITPR2"", ""GGCT"", ""NDUFS7"", ""PHF14"", ""MLC1"", ""PRCP"", ""SOGA1"", ""KIF5C"", ""LINC00685"", ""NKTR"", ""SNRNP25"", ""SUGP2"", ""PAG1"", ""CLEC11A"", ""ZSCAN16-AS1"", ""BRD7"", ""KIF1B"", ""RBBP4"", ""SLC22A17"", ""PDE4B"", ""GPSM2"", ""PODXL2"", ""RHOQ"", ""ZNF704"", ""FZD3"", ""IDH1"", ""TRIM28"", ""CRMP1"", ""PAXBP1"", ""MAP3K1"", ""NSL1"", ""TRIM24"", ""LRP3"", ""SPPL2B"", ""ENOPH1"", ""ECI1"", ""TIMM44"", ""HES4"", ""KHSRP"", ""MAD2L2"", ""ARHGAP42"", ""KLHL23"", ""MCUR1"", ""ELAVL1"", ""MIR4458HG"", ""RP9"", ""LINC01003"", 
""PHACTR4"", ""CCDC28B"", ""PPT1"", ""NT5C3A"", ""GNB4"", ""TIA1"", ""PIGX"", ""DHPS"", ""TMEM121"", ""CIAPIN1"")","3"
"119","Cajal.Retzius.cells","0.00890106128038343","0.0213625470729202","0.285313392143872","0.729412860205171","1.90541195001894","5","c(""EDIL3"", ""TRIM44"", ""SLC25A36"")","2"
"120","Muller_GenBiology_2017_BDM","0.520252694165738","0.56754839363535","0.0357644617683714","0.330233339921907","0.939521500984872","6","c(""TGFBI"", ""PDE4B"")","2"
"121","Yang_BioRxiv_2021_Oligo","0.816801253465108","0.816801253465108","0.00995081096975414","-0.230248459962049","-0.704968560472839","14","c(""PLP1"", ""SGK1"", ""CNP"", ""ABCA8"", ""ATP1B1"")","2"
"122","Hu_2022_Peri","0.577064220183486","0.602153968887116","0.0162678607057725","-0.353097490096686","-0.918261579703884","8","c(""ATP1A2"", ""CTSK"", ""IGFBP4"", ""FHL2"", ""AEBP1"", ""CMBL"")","2"
"123","Neurons","0.477622476351828","0.545854258687804","0.0201793957835896","-0.446771914857401","-1.00407045878843","5","c(""FAM181B"", ""MATN2"", ""DTD1"")","2"
"124","Neftel_Cell_2019_G1.S","0.428267667292058","0.513921200750469","0.0199959680630296","-0.360349291418769","-1.03456459363395","11","c(""HIST1H4C"", ""CKS1B"", ""PCNA"", ""DUT"", ""GMNN"", ""TMEM106C"", ""MCM3"", ""GINS2"", ""FEN1"")","2"
"125","Yang_BioRxiv_2021_T_cell","0.340251305943809","0.429791123297443","0.0256064697418265","-0.499994132052354","-1.12368150473729","5","c(""ZFP36L2"", ""LITAF"", ""BTG1"")","2"
"126","Neftel_Cell_2019_MES1","0.265413824172995","0.353885098897327","0.0283109803250037","-0.439537504670564","-1.18886500656822","9","c(""RCAN1"", ""EMP1"", ""S100A16"", ""SERPINE1"", ""NAMPT"")","2"
"127","Richards_NatureCancer_2021_sc.Injury_Response","0.127465705417042","0.203945128667267","0.0377826262640302","-0.262177295174921","-1.23287437508315","170","c(""IER2"", ""RCAN1"", ""GADD45B"", ""CEBPD"", ""FOSB"", ""SOCS3"", ""DUSP1"", ""KLF2"", ""NR4A2"", ""HSPA1B"", ""MRPS6"", ""CYR61"", ""MAFF"", ""COTL1"", ""NPM1"", ""MYADM"", ""EMP1"", ""TM4SF1"", ""IRF1"", ""KLF9"", ""TUBB"", ""KLF10"", ""TUBB4B"", ""CALM2"", ""PFN1"", ""ARPC1B"", ""NFKBIA"", ""AKAP12"", ""HMGA1"", ""NFKBIZ"", ""SERPINE1"", ""MYL12B"", ""RBP1"", ""CCND1"", ""TPM4"", ""MYLK"", ""NAMPT"", ""PHLDA1"", ""GSTO1"", ""CDKN3"", ""MGLL"", ""BHLHE40"", ""CTSK"", ""MYL12A"", ""TIMP3"", ""EIF4EBP1"", ""SFRP1"", ""TNFRSF12A"")","2"
"128","Yang_BioRxiv_2021_SMC","0.215570469798658","0.304334780892223","0.0329889785720029","-0.499050940042526","-1.24227578408304","7","c(""C11orf96"", ""TIMP3"", ""IGFBP4"", ""MCAM"")","2"
"129","Neftel_Cell_2019_NPC2","0.171819850345899","0.257729775518848","0.0387662484583825","-0.574526739267421","-1.29118529499908","5","c(""STMN1"", ""ATP1B1"", ""TUBB2A"", ""SOX4"")","2"
"130","Neural.stem.precursor.cells","0.0796272765777213","0.136503902704665","0.0590382721694151","-0.642458100558659","-1.44385351524651","5","c(""ID4"", ""IGFBP3"", ""CCND2"", ""RBM3"", ""CBX3"")","2"
